
//////////////////////////////////////////////////////////
//////////////////////////////////////////////////////////
//////////////////////////////////////////////////////////

(355,1465,-485,440, 'West' , 'None' , 'Cross_junction' , 'NIL'),
(365,2110,-610,440, 'South' , 'None' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'West' , 'None' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'North' , 'North' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'North' , 'East' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'South' , 'North' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'South' , 'West' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'West' , 'East' , 'T_junction' , 'NIL'),
(365,2110,-610,440, 'West' , 'West' , 'T_junction' , 'NIL'),
(366,2130,-610,440, 'East' , 'Down' , 'Stairs' , 'NIL'),
(366,2130,-610,440, 'East' , 'None' , 'Stairs' , 'NIL'),
(366,2130,-610,440, 'West' , 'None' , 'Stairs' , 'NIL'),
(367,1465,-140,360, 'North' , 'None' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'East' , 'None' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'West' , 'None' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'North' , 'East' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'North' , 'West' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'East' , 'North' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'East' , 'East' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'West' , 'North' , 'T_junction' , 'NIL'),
(367,1465,-140,360, 'West' , 'West' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'North' , 'None' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'South' , 'None' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'North' , 'North' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'West' , 'None' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'North' , 'East' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'West' , 'East' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'South' , 'West' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'South' , 'North' , 'T_junction' , 'NIL'),
(368,1400,-140,360, 'West' , 'West' , 'T_junction' , 'NIL'),
(369,1400,-185,360, 'East' , 'None' , 'Corner' , 'NIL'),
(369,1400,-185,360, 'South' , 'None' , 'Corner' , 'NIL'),
(369,1400,-185,360, 'East' , 'West' , 'Corner' , 'NIL'),
(369,1400,-185,360, 'South' , 'East' , 'Corner' , 'NIL'),
(370,1225,-185,360, 'South' , 'None' , 'Corner' , 'NIL'),
(370,1225,-185,360, 'West' , 'None' , 'Corner' , 'NIL'),
(370,1225,-185,360, 'South' , 'West' , 'Corner' , 'NIL'),
(370,1225,-185,360, 'West' , 'East' , 'Corner' , 'NIL'),
(371,1225,-155,360, 'North' , 'None' , 'Corner' , 'NIL'),
(371,1225,-155,360, 'East' , 'None' , 'Corner' , 'NIL'),
(371,1225,-155,360, 'North' , 'West' , 'Corner' , 'NIL'),
(371,1225,-155,360, 'East' , 'East' , 'Corner' , 'NIL'),
(372,835,-155,360, 'East' , 'None' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'South' , 'None' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'West' , 'None' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'East' , 'North' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'East' , 'West' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'South' , 'East' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'South' , 'West' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'West' , 'North' , 'T_junction' , 'NIL'),
(372,835,-155,360, 'West' , 'East' , 'T_junction' , 'NIL'),
(373,835,-30,360, 'North' , 'None' , 'Corner' , 'NIL'),
(373,835,-30,360, 'East' , 'None' , 'Corner' , 'NIL'),
(373,835,-30,360, 'North' , 'West' , 'Corner' , 'NIL'),
(373,835,-30,360, 'East' , 'East' , 'Corner' , 'NIL'),
(374,815,-30,360, 'West' , 'Up' , 'Stairs' , 'NIL'),
(374,815,-30,360, 'West' , 'Down' , 'Stairs' , 'NIL'),
(374,815,-30,360, 'West' , 'None' , 'Stairs' , 'NIL'),
(374,815,-30,360, 'East' , 'None' , 'Stairs' , 'NIL'),
(375,1465,-140,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'South' , 'None' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'North' , 'North' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'South' , 'North' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'South' , 'West' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'West' , 'East' , 'T_junction' , 'NIL'),
(375,1465,-140,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(376,1485,-140,400, 'None' , 'None' , 'Room' , 'E2-03-32'),
(377,1465,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(377,1465,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(378,1445,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(379,1445,-140,400, 'None' , 'None' , 'Room' , 'E2-03-02'),
(380,1125,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(380,1125,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(381,1125,-140,400, 'None' , 'None' , 'Room' , 'E2-03-06'),
(382,1005,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(382,1005,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(383,1005,-140,400, 'None' , 'None' , 'Room' , 'E2-03-07'),
(384,885,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(384,885,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(385,885,-140,400, 'None' , 'None' , 'Room' , 'E2-03-08'),
(386,830,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'South' , 'None' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'East' , 'West' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'South' , 'East' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'South' , 'West' , 'T_junction' , 'NIL'),
(386,830,-120,400, 'West' , 'East' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'North' , 'West' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'East' , 'East' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(387,765,-120,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(388,830,-140,400, 'None' , 'None' , 'Room' , 'E2-03-09'),
(389,830,-10,400, 'North' , 'None' , 'Corner' , 'NIL'),
(389,830,-10,400, 'East' , 'None' , 'Corner' , 'NIL'),
(389,830,-10,400, 'North' , 'West' , 'Corner' , 'NIL'),
(389,830,-10,400, 'East' , 'East' , 'Corner' , 'NIL'),
(390,810,-10,400, 'West' , 'Up' , 'Stairs' , 'NIL'),
(390,810,-10,400, 'West' , 'Down' , 'Stairs' , 'NIL'),
(390,810,-10,400, 'West' , 'None' , 'Stairs' , 'NIL'),
(390,810,-10,400, 'East' , 'None' , 'Stairs' , 'NIL'),
(391,1465,-185,480, 'North' , 'None' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'South' , 'None' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'West' , 'None' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'North' , 'North' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'North' , 'East' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'South' , 'North' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'South' , 'West' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'West' , 'West' , 'T_junction' , 'NIL'),
(391,1465,-185,480, 'West' , 'East' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'North' , 'None' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'East' , 'None' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'West' , 'None' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'North' , 'West' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'East' , 'North' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'North' , 'East' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'East' , 'East' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'West' , 'North' , 'T_junction' , 'NIL'),
(392,1465,-115,480, 'West' , 'West' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'North' , 'None' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'West' , 'None' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'South' , 'None' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'North' , 'North' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'South' , 'North' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'South' , 'West' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'North' , 'East' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'West' , 'East' , 'T_junction' , 'NIL'),
(393,2100,-325,280, 'West' , 'West' , 'T_junction' , 'NIL'),
(394,2100,-135,280, 'South' , 'None' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'East' , 'None' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'West' , 'None' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'North' , 'None' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'North' , 'North' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'East' , 'East' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'North' , 'East' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'East' , 'West' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'South' , 'North' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'South' , 'East' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'West' , 'North' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'South' , 'West' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'North' , 'West' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'East' , 'North' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'West' , 'West' , 'Cross_junction' , 'NIL'),
(394,2100,-135,280, 'West' , 'East' , 'Cross_junction' , 'NIL'),
(395,2100,5,280, 'South' , 'None' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'West' , 'None' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'North' , 'North' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'North' , 'East' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'South' , 'North' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'West' , 'West' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'North' , 'None' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'South' , 'West' , 'T_junction' , 'NIL'),
(395,2100,5,280, 'West' , 'East' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'North' , 'None' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'South' , 'None' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'North' , 'North' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'West' , 'None' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'South' , 'West' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'North' , 'East' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'West' , 'East' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'South' , 'North' , 'T_junction' , 'NIL'),
(396,2100,30,280, 'West' , 'West' , 'T_junction' , 'NIL'),
(397,2120,30,280, 'East' , 'None' , 'Elevator' , 'NIL'),
(397,2120,30,280, 'West' , 'None' , 'Elevator' , 'NIL'),
(397,2120,30,280, 'East' , 'Up' , 'Elevator' , 'NIL'),
(398,2120,30,320, 'East' , 'Up' , 'Elevator' , 'NIL'),
(398,2120,30,320, 'East' , 'Down' , 'Elevator' , 'NIL'),
(398,2120,30,320, 'West' , 'None' , 'Elevator' , 'NIL'),
(398,2120,30,320, 'East' , 'None' , 'Elevator' , 'NIL'),
(399,2100,30,320, 'North' , 'None' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'South' , 'None' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'North' , 'East' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'West' , 'None' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'South' , 'North' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'North' , 'North' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'South' , 'West' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'West' , 'East' , 'T_junction' , 'NIL'),
(399,2100,30,320, 'West' , 'West' , 'T_junction' , 'NIL'),
(400,2100,5,320, 'West' , 'East' , 'Corner' , 'NIL'),
(400,2100,5,320, 'South' , 'None' , 'Corner' , 'NIL'),
(400,2100,5,320, 'South' , 'West' , 'Corner' , 'NIL'),
(400,2100,5,320, 'West' , 'None' , 'Corner' , 'NIL'),
(401,2120,5,320, 'East' , 'Up' , 'Stairs' , 'NIL'),
(401,2120,5,320, 'East' , 'Down' , 'Stairs' , 'NIL'),
(401,2120,5,320, 'East' , 'None' , 'Stairs' , 'NIL'),
(401,2120,5,320, 'West' , 'None' , 'Stairs' , 'NIL'),
(402,2120,5,280, 'East' , 'None' , 'Stairs' , 'NIL'),
(402,2120,5,280, 'West' , 'None' , 'Stairs' , 'NIL'),
(402,2120,5,280, 'East' , 'Up' , 'Stairs' , 'NIL'),
(403,2120,30,360, 'East' , 'Up' , 'Elevator' , 'NIL'),
(403,2120,30,360, 'East' , 'None' , 'Elevator' , 'NIL'),
(403,2120,30,360, 'East' , 'Down' , 'Elevator' , 'NIL'),
(403,2120,30,360, 'West' , 'None' , 'Elevator' , 'NIL'),
(404,2100,30,360, 'South' , 'None' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'West' , 'None' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'North' , 'None' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'North' , 'North' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'South' , 'North' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'South' , 'West' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'North' , 'East' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'West' , 'East' , 'T_junction' , 'NIL'),
(404,2100,30,360, 'West' , 'West' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'North' , 'None' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'North' , 'North' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'South' , 'None' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'West' , 'None' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'North' , 'East' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'South' , 'North' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'West' , 'East' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'West' , 'West' , 'T_junction' , 'NIL'),
(405,2100,5,360, 'South' , 'West' , 'T_junction' , 'NIL'),
(406,2120,5,360, 'East' , 'Down' , 'Stairs' , 'NIL'),
(406,2120,5,360, 'West' , 'None' , 'Stairs' , 'NIL'),
(406,2120,5,360, 'East' , 'None' , 'Stairs' , 'NIL'),
(406,2120,5,360, 'East' , 'Up' , 'Stairs' , 'NIL'),
(407,2120,30,400, 'East' , 'Down' , 'Elevator' , 'NIL'),
(407,2120,30,400, 'East' , 'Up' , 'Elevator' , 'NIL'),
(407,2120,30,400, 'West' , 'None' , 'Elevator' , 'NIL'),
(407,2120,30,400, 'East' , 'None' , 'Elevator' , 'NIL'),
(408,2100,30,400, 'North' , 'None' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'South' , 'None' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'North' , 'East' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'South' , 'North' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'North' , 'North' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'West' , 'West' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'South' , 'West' , 'T_junction' , 'NIL'),
(408,2100,30,400, 'West' , 'East' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'East' , 'None' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'South' , 'None' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'West' , 'None' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'East' , 'North' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'South' , 'East' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'East' , 'West' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'West' , 'North' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'West' , 'East' , 'T_junction' , 'NIL'),
(409,2100,5,400, 'South' , 'West' , 'T_junction' , 'NIL'),
(410,2120,5,400, 'East' , 'Up' , 'Stairs' , 'NIL'),
(410,2120,5,400, 'East' , 'Down' , 'Stairs' , 'NIL'),
(410,2120,5,400, 'East' , 'None' , 'Stairs' , 'NIL'),
(410,2120,5,400, 'West' , 'None' , 'Stairs' , 'NIL'),
(411,2120,30,440, 'East' , 'Down' , 'Elevator' , 'NIL'),
(411,2120,30,440, 'West' , 'None' , 'Elevator' , 'NIL'),
(411,2120,30,440, 'East' , 'None' , 'Elevator' , 'NIL'),
(412,2100,30,440, 'North' , 'None' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'East' , 'None' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'South' , 'None' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'West' , 'None' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'North' , 'West' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'North' , 'North' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'North' , 'East' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'East' , 'North' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'East' , 'West' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'South' , 'North' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'South' , 'East' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'East' , 'East' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'South' , 'West' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'West' , 'East' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'West' , 'West' , 'Cross_junction' , 'NIL'),
(412,2100,30,440, 'West' , 'North' , 'Cross_junction' , 'NIL'),
(413,2100,5,440, 'South' , 'None' , 'Corner' , 'NIL'),
(413,2100,5,440, 'West' , 'None' , 'Corner' , 'NIL'),
(413,2100,5,440, 'South' , 'West' , 'Corner' , 'NIL'),
(413,2100,5,440, 'West' , 'East' , 'Corner' , 'NIL'),
(414,2120,5,440, 'East' , 'None' , 'Stairs' , 'NIL'),
(414,2120,5,440, 'East' , 'Down' , 'Stairs' , 'NIL'),
(414,2120,5,440, 'West' , 'None' , 'Stairs' , 'NIL'),
(415,2100,180,440, 'North' , 'None' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'East' , 'None' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'South' , 'None' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'West' , 'None' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'North' , 'North' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'North' , 'East' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'North' , 'West' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'East' , 'North' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'East' , 'East' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'East' , 'West' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'South' , 'North' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'South' , 'West' , 'Cross_junction' , 'NIL'),
(415,2100,180,440, 'South' , 'East' , 'Cross_junction' , 'NIL'),
